packagename,permission,text,label
fit.appetit,Steps,"Steps [SEP] fit.appetit APPETIT PRIVACY POLICY اسفند ۸, ۱۴۰۳ Welcome to the Appetit Privacy Policy! Welcome to Ta’t Sustained Idea (TSI) LTD (together with our affiliates, “Appetit”, “we”, or “us”). This Privacy Policy is meant to help you understand how we collect, use and share information to operate, improve, develop and help protect our services, or as otherwise outlined in the Policy. This includes how we collect and process your personal information such as when you visit Appetit sites, use any Appetit services including Appetit applications (the “App”) or fitness equipment (such as the Appetit Guide+ or Appetit Move), or when you interact with us via our call centers, customer support service including live chats and e-mail communications, social media channels, studios or retail shops including our showrooms or concession stores as well as other online and offline services we provide (together, the “Services”). This Privacy Policy applies to our Services except where otherwise noted. Why This Matters Appetit uses technology and design to connect the world through fitness and empowers our members to be the best version of themselves. Our goal with this Privacy Policy is in line with our",PARTIAL
com.rumble_mobile.ovdimbari,Steps,"Steps [SEP] com.rumble_mobile.ovdimbari Privacy Policy UVTAL Health Ltd. (“YuviTal”, “Us” or “We”), respects its users’ privacy and is committed to protecting the personal information that you share with Us. We need your personal information to provide the services that you request (the “Services”). This policy describes how we collect, store, process, disclose, transfer and use your personal information and for what purposes. This Policy applies to Personal Identifiable Information (“PII” or “Personal Data”) as defined by the General Data Protection Regulation (GDPR) (EU) 2016/679 (“GDPR“), collected by Us via online resources and communications (such as this website www.yuvital.com via e-mail, and other online tools). PII may contain health related information as defined by the Health Insurance Portability and Accountability Act of 1996 and its attendant regulations (“HIPAA”) as “Protected Health Information” (PHI). “Non-Personal Data,” as used in this Privacy Policy, is therefore any information that does not relate to a person, cannot be used to identify a person. We may also use Non-Personal Data. The limitations and requirements in this Privacy Policy on how we gather, use, disclose, tra",PARTIAL
com.stepbet.app,Steps,"Steps [SEP] com.stepbet.app FitnessAI Privacy Policy Date of Last Revision: May 2, 2023 Here at FitnessAI, we are strongly committed to protecting the privacy of your personal information, and providing a safe and secure environment for all of our players. The purpose of our Privacy Policy is to set forth the information we gather when you visit our site or use our Services and the manner in which such information is used. By registering, accessing, using or visiting any of FitnessAI's games or other services including but not limited to www.stepbet.com and www.fitnessai.com, its websites and any mobile version thereof, or any software system designed to support or permit interaction with the website, including social networking pages thereon, or its functionality over a network (together the ""Site""), you (the ""User"") signify that you have read, understand, and agree to be bound by this Privacy Policy, which is an integral part of our Terms of Use. European Union users should review the section of this Privacy Policy entitled “European Union Users”. Users who are residents of California should review the attached “Supplemental Privacy Provisions for California Residents,” which are an integral",NO
com.diet.pixsterstudio.ketodietican,Steps,"Steps [SEP] com.diet.pixsterstudio.ketodietican 11.08 G Keto Manager PRIVACY POLICY EFFECTIVE DATE: NOVEMBER, 2022 This Privacy Policy governs Your (""You"" or ""Your"") use of any software application (the Applications"") and/or website located at https Iketo-manager com(the ""Website"") provided by PIXSTER STUDIO LLP (hereinafter; ""Keto Manager"") This privacy statement describes how Keto Manager collects and uses the personal information you provide It also describes the choices available to you regarding our use of your personal information and how you can access and update this information. This Privacy_Policy is only applicable to the Website and Applications and does not apply to any websites or applications that are owned or operated by third parties (""Third-Party Websitesl Applications"") , which may have data collection, storage and use practices and policies that differ materially from this Privacy_ Policy: For additional information, see the section concerning Third-Party Websites/ Applications, below: BY USING THE WEBSITE AND/OR APPLICATIONS, YOU REPRESENT AND WARRANT THAT YOU HAVE READ AND UNDERSTOOD, AND AGREE TO THE TERMS OF; THIS PRIVACY POLICY YOU ARE CONSENTING TO OUR PROCESSING OF U",NO
au.org.steps10000.app,Steps,"Steps [SEP] au.org.steps10000.app 10:17 6 Hi O 0 GIP9 Terms, Conditions and Privacy Policy Support Frequently Asked Questions Terms, Conditions and Privacy Policy 10,000 Steps Terms of Use The 10,000 Steps Program has been developed by CQUniversity Australia with funding from the Health and Wellbeing Queensland; Queensland Government; and Preventive Health SA, SA Government (""Program Partners"") The delivery of the 10,000 Steps Program (""the Program"") is through the Website (""the Website""), the Mobile App (""the Mobile App""), and Communication with Registered Users of the Program; which may include but is not limited to emails, phone calls (if a phone number is supplied), social media communication, web-based or paper surveys (""Communication""). These Terms of Use govern access to and use of the Program including the Website and Mobile App, the services on or in connection with them, and the images, photos, information, video, graphics, software, text, creative suggestions, and other materials contained on the munication +b Dashboard Step Log Community Challenges Tournaments10:18 G Hi sctviccs Ui 0 cui iettiumWTTthem an tTC magep, photos, information, video, graphics, software, text, creative sug",YES
co.choosebright.client,Steps,"Steps [SEP] co.choosebright.client Privacy Policy Last Updated August 26, 2024. 10432423 Canada Limited (“Bright Breaks”, “we”, “us”, “our”) respects the privacy of our users and is committed to protecting it by complying with this policy. This privacy policy (the “Privacy Policy”) describes: the types of information we may collect from you, the user of the Services, or that you may provide when you, download, install, register with, access or use the Bright Breaks mobile application (the “App”), or interact with our website brightbreaks.com (the “Site”) (together, the “Services”); and our practices for collecting, using, maintaining, protecting and disclosing that information. By accessing or using our Services, you agree that you have read, understood, and agreed to be bound by this Privacy Policy. If you do not accept the terms of this Privacy Policy, you may not access or use the Services. We may change this Privacy Policy from time to time without notice to you. The date on which this Privacy Policy was last updated will appear at the top of this page. You should periodically review this Privacy Policy so that you are aware of any changes which might affect you. Your continued use of the ",YES
com.jeet.diety,Steps,"Steps [SEP] com.jeet.diety 11.59 6 dietyapp.in My blog Privacy Policy Macros Tracker & Food Tracker App Privacy Policy By installing our mobile application or in any way using or accessing our Services, you accept the terms and conditions of this Privacy Policy and the processing of your personal data: Personal data controller Responsible for the processing of your personal data is: ADDRESS HNO: 109/50 UNCHAGAON; SAINIWARA,UMRAO COLONY GUJJAR WARA BALLABGARHFARIDABAD 121004 E-MAIL: healthydietdev@gmailcom Information about personal data we collect: - When you install Macros Tracker & Food Tracker App we collect personal data from11.59 SAINIWARA, UMRAO COLONY GUJJAR WARA BALLABGARHFARIDABAD 121004 E-MAIL: healthydietdev@gmailcom Information about personal data we collect: - When you install Macros Tracker & Food Tracker App; we collect personal data from you such as: your height; weight; age , gender and your physical intensity level for BMI: When you continue using the Macros Tracker & Food Tracker App Services you regularly save to locally personal data onto your device database such as, depending on your use ofthe Services; your calorie intake, weight loss goallweight gain goal, activityldie",YES
com.soundbrenner.pulse,Steps,"Steps [SEP] com.soundbrenner.pulse Privacy policy mobile app This Privacy Policy governs your use of the software application: The Metronome by Soundbrenner (the “Mobile Application”) for mobile devices that was created by Soundbrenner Limited. The Mobile Application is helping musicians to follow the rhythm. Soundbrenner Limited and/or its subsidiary(ies) and/or affiliates (hereinafter collectively referred to as the “Company”) pledges to meet fully with the requirements of Cap 486 of the Personal Data (Privacy) Ordinance of the Laws of the Hong Kong Special Administrative Region. In doing so, the Company will ensure compliance by its staff to the strictest standards of security and confidentiality in respect of all personal information and data submitted by users via www.soundbrenner.com, its sub-domains, and any other websites, media platforms, or applications including the Mobile Application operated by the Company (hereinafter collectively referred to as the “Channels”) and the Company will not release such information to anyone without the prior consent of the relevant user(s) of the Channels (whether registered or not) (the “User” or the “Users”), except to the authorized persons listed",YES
com.fitapp,Steps,"Steps [SEP] com.fitapp 11:13 PRIVAcY POLICY, TERMS OF USE and DATA PROTECTION REGULATIONS The FITAPP app (hereafter refered to as app), as installed on this device has been developed and is operated by FITAPP GmbH, Schubertstrafse 6a, 8010 Graz, Austria (hereafter referred to as FITAPP): Contact Details FITAPP GmbH Schubertstrafse 6a 8010 Graz AUSTRIA Web: WWW fitapp info Email: supportofitapp info 1. Scope of Service FITAPP provides its users with an app which the user can utilise to capture, save and share their performance and activity information: FITAPP reserves the right to amend; extend, delete or erase any services offered without prior notice nor reason given. 2. Changes to the terms of use and data protection regulations FITAPP has the right to make alterations to the terms of use as set out within this document in order to correspond to any technical or economic influences which affect the app. The user will be informed of all changes and notification of when those changes take effect: The altered terms of use become valid if the user does not withdraw consent within six weeks prior to the changes taking effect by cancelling their contract in the appropriate app store. FITAPP will e",YES
com.cooleaf.Cooleaf,Steps,"Steps [SEP] com.cooleaf.Cooleaf Privacy Policy This Privacy Policy was last modified on September 25, 2024. Overview ‍ The following Privacy Policy (this “Policy”) governs the data collection and handling practices for the Cooleaf mobile applications/apps (the “Cooleaf App”) and the Cooleaf web site located at www.cooleaf.com (the “Cooleaf Site”) and of Cooleaf, Inc. (""Cooleaf”, ""we"", ""us"" or “our”). The Cooleaf App, the Cooleaf Site and the related content, applications, tools, technology and services that that we offer through them, are referred to collectively as the ""Cooleaf Platform”. ‍ This Policy describes: - The types of information we may collect or that you may provide when you download, register with, access, or use the Platform. - Our practices for collecting, using, maintaining, protecting, and disclosing that information. ‍ This Policy applies only to information we collect on or through the Platform. This Policy DOES NOT apply to information that we collect offline, or that you provide to or is collected by any third party, which may have their own privacy policies that we encourage you to read before providing your information on or through them (see “Third-Party Information Co",YES
com.jeet.healthydiet,Steps,"Steps [SEP] com.jeet.healthydiet Privacy Policy Calorie Counter – Eat Smartly App Privacy Policy By installing our mobile application or in any way using or accessing our Services, you accept the terms and conditions of this Privacy Policy and the processing of your personal data. Personal data controller Responsible for the processing of your personal data is: ADDRESS H.NO. 109/50 UNCHAGAON, SAINIWARA,UMRAO COLONY GUJJAR WARA BALLABGARH FARIDABAD 121004 E-MAIL : healthydietdev@gmail.com Information about personal data we collect:- When you install Calorie Counter – Eat Smartly App, we collect personal data from you such as: your height, weight, age , gender and your physical intensity level for BMI. When you continue using the Calorie Counter – Eat Smartly App Services you regularly save to locally personal data onto your device database such as, depending on your use of the Services; your calorie intake, weight loss goal/weight gain goal, activity/diet routines, your body measurements and BMI. In an ongoing effort to improve our Services, additional personal data may be collected from you. In such cases, we will notify you when the personal data collection takes place. Our use of your person",YES
com.corehealth.mywellapp,Steps,"Steps [SEP] com.corehealth.mywellapp 12.43 G di What your data is used for: If you give permission to read Steps, the MyWellApp will request the latest step data from the Health Connect app. The step data will then be uploaded to our servers, so that step data can be included in our platform: The steps data can be consumed and displayed in various places in our platform; for example in Challenges; in Wellness Scores and in Step widgets When permission is granted to read the Sync steps command in the popup menu; will request all the steps for the last 30 days from the Health Connect app. This data is then uploaded to our servers, to refresh your step data: CORE HEALTH Carebook Steps,",YES
com.healthapplines.android.pedometer,Distance,"Distance [SEP] com.healthapplines.android.pedometer 1. General Info Protecting your privacy is important to us. We hope the following statement will help you understand how our app deals with the personal identifiable information ('PII') you may occasionally provide to us via Internet (the Google Play Platform). This Privacy Policy (the ""Policy"") serves to explain what information Health Applines Limited and its affiliates and subsidiaries (collectively, ""we"", ""us"", or ""our"") collect, and how we use and protect your information when you use any mobile applications that we develop and are available for download in the Google Play Store. This Policy applies exclusively to information collected within the app, as well as to email, text, and other electronic communications sent by you through or in connection with the app. Please read this policy carefully to understand our policies and practices regarding your information and how we handle it. If you do not agree with our policies and practices, please refrain from downloading, registering or using this app. By downloading, registering or using the app, you agree to abide by this privacy policy. Reviewing this Privacy Policy will help you become fam",YES
com.healthapplines.android.pedometer,Exercise,"Exercise [SEP] com.healthapplines.android.pedometer 1. General Info Protecting your privacy is important to us. We hope the following statement will help you understand how our app deals with the personal identifiable information ('PII') you may occasionally provide to us via Internet (the Google Play Platform). This Privacy Policy (the ""Policy"") serves to explain what information Health Applines Limited and its affiliates and subsidiaries (collectively, ""we"", ""us"", or ""our"") collect, and how we use and protect your information when you use any mobile applications that we develop and are available for download in the Google Play Store. This Policy applies exclusively to information collected within the app, as well as to email, text, and other electronic communications sent by you through or in connection with the app. Please read this policy carefully to understand our policies and practices regarding your information and how we handle it. If you do not agree with our policies and practices, please refrain from downloading, registering or using this app. By downloading, registering or using the app, you agree to abide by this privacy policy. Reviewing this Privacy Policy will help you become fam",NO
com.healthapplines.android.pedometer,Steps,"Steps [SEP] com.healthapplines.android.pedometer 1. General Info Protecting your privacy is important to us. We hope the following statement will help you understand how our app deals with the personal identifiable information ('PII') you may occasionally provide to us via Internet (the Google Play Platform). This Privacy Policy (the ""Policy"") serves to explain what information Health Applines Limited and its affiliates and subsidiaries (collectively, ""we"", ""us"", or ""our"") collect, and how we use and protect your information when you use any mobile applications that we develop and are available for download in the Google Play Store. This Policy applies exclusively to information collected within the app, as well as to email, text, and other electronic communications sent by you through or in connection with the app. Please read this policy carefully to understand our policies and practices regarding your information and how we handle it. If you do not agree with our policies and practices, please refrain from downloading, registering or using this app. By downloading, registering or using the app, you agree to abide by this privacy policy. Reviewing this Privacy Policy will help you become fam",PARTIAL
life.startchange.goals.resolutions,Distance,"Distance [SEP] life.startchange.goals.resolutions Start Change Logo Start Change☰ Privacy Policy Last Updated: Apr 30, 2025 This Privacy Policy refers to your use of the Start Change application (""App""), owned, operated, and provided by LifeON24 Inc. (""LifeON24,"" ""we,"" ""us,"" or ""our""). Please carefully read this whole Privacy Policy before deciding to use the App, as it covers the privacy practices and treatment of any information that you submit to us, including personally identifiable information (""PII""). Our Policy We have a few fundamental principles, we don't: And won't ask you for personally identifying information unless we truly need it. Share your personally identifying information (""PII"") with anyone, except as needed, to provide service or product support, to comply with the law, or to protect our rights. Store personal or customer information on our servers unless required for the on-going operation of our App. Collection and Use of Information a) Registration Information In order to utilize the App you must be 13 years or older, and you must create an account with an email address and phone number, which will be stored and linked to the account. We encourage you to exercise caution b",YES
life.startchange.goals.resolutions,Exercise,"Exercise [SEP] life.startchange.goals.resolutions Start Change Logo Start Change☰ Privacy Policy Last Updated: Apr 30, 2025 This Privacy Policy refers to your use of the Start Change application (""App""), owned, operated, and provided by LifeON24 Inc. (""LifeON24,"" ""we,"" ""us,"" or ""our""). Please carefully read this whole Privacy Policy before deciding to use the App, as it covers the privacy practices and treatment of any information that you submit to us, including personally identifiable information (""PII""). Our Policy We have a few fundamental principles, we don't: And won't ask you for personally identifying information unless we truly need it. Share your personally identifying information (""PII"") with anyone, except as needed, to provide service or product support, to comply with the law, or to protect our rights. Store personal or customer information on our servers unless required for the on-going operation of our App. Collection and Use of Information a) Registration Information In order to utilize the App you must be 13 years or older, and you must create an account with an email address and phone number, which will be stored and linked to the account. We encourage you to exercise caution b",NO
life.startchange.goals.resolutions,Steps,"Steps [SEP] life.startchange.goals.resolutions Start Change Logo Start Change☰ Privacy Policy Last Updated: Apr 30, 2025 This Privacy Policy refers to your use of the Start Change application (""App""), owned, operated, and provided by LifeON24 Inc. (""LifeON24,"" ""we,"" ""us,"" or ""our""). Please carefully read this whole Privacy Policy before deciding to use the App, as it covers the privacy practices and treatment of any information that you submit to us, including personally identifiable information (""PII""). Our Policy We have a few fundamental principles, we don't: And won't ask you for personally identifying information unless we truly need it. Share your personally identifying information (""PII"") with anyone, except as needed, to provide service or product support, to comply with the law, or to protect our rights. Store personal or customer information on our servers unless required for the on-going operation of our App. Collection and Use of Information a) Registration Information In order to utilize the App you must be 13 years or older, and you must create an account with an email address and phone number, which will be stored and linked to the account. We encourage you to exercise caution b",YES
de.walk15.pedometer,Distance,"Distance [SEP] de.walk15.pedometer Walk15, UAB PERSONAL DATA PROCESSING POLICY SECTION I GENERAL PROVISIONS Walk15, UAB (hereinafter – Company ) Personal data processing policy (hereinafter – Policy ) is a part of a publicly disclosed Data processing policy that governs the purposes of processing personal data of natural persons whose data is processed by the Company, establishes procedures for enforcing their rights, sets the organizational and technical data protection measures, regulates the invocation of personal data processors. This Policy is prepared based on: Law on Legal Protection of Personal Data of the Republic of Lithuania (hereinafter – LLPPD ); The General Data Protection Regulation ( hereinafter – GDPR ); Order of the Government of the Republic of Lithuania of the 28th February 2001 No. 228 “Regarding the approval of the order of remuneration for the provision of data to the data subject and remuneration for data collection from registered data controllers”; other legislation related to the processing and protection of personal data. This Policy applies to the automatic processing of personal data of natural persons, as well as to the manual processing of systematic sets of person",YES
de.walk15.pedometer,Exercise,"Exercise [SEP] de.walk15.pedometer Walk15, UAB PERSONAL DATA PROCESSING POLICY SECTION I GENERAL PROVISIONS Walk15, UAB (hereinafter – Company ) Personal data processing policy (hereinafter – Policy ) is a part of a publicly disclosed Data processing policy that governs the purposes of processing personal data of natural persons whose data is processed by the Company, establishes procedures for enforcing their rights, sets the organizational and technical data protection measures, regulates the invocation of personal data processors. This Policy is prepared based on: Law on Legal Protection of Personal Data of the Republic of Lithuania (hereinafter – LLPPD ); The General Data Protection Regulation ( hereinafter – GDPR ); Order of the Government of the Republic of Lithuania of the 28th February 2001 No. 228 “Regarding the approval of the order of remuneration for the provision of data to the data subject and remuneration for data collection from registered data controllers”; other legislation related to the processing and protection of personal data. This Policy applies to the automatic processing of personal data of natural persons, as well as to the manual processing of systematic sets of person",NO
de.walk15.pedometer,Steps,"Steps [SEP] de.walk15.pedometer Walk15, UAB PERSONAL DATA PROCESSING POLICY SECTION I GENERAL PROVISIONS Walk15, UAB (hereinafter – Company ) Personal data processing policy (hereinafter – Policy ) is a part of a publicly disclosed Data processing policy that governs the purposes of processing personal data of natural persons whose data is processed by the Company, establishes procedures for enforcing their rights, sets the organizational and technical data protection measures, regulates the invocation of personal data processors. This Policy is prepared based on: Law on Legal Protection of Personal Data of the Republic of Lithuania (hereinafter – LLPPD ); The General Data Protection Regulation ( hereinafter – GDPR ); Order of the Government of the Republic of Lithuania of the 28th February 2001 No. 228 “Regarding the approval of the order of remuneration for the provision of data to the data subject and remuneration for data collection from registered data controllers”; other legislation related to the processing and protection of personal data. This Policy applies to the automatic processing of personal data of natural persons, as well as to the manual processing of systematic sets of person",YES
com.mysports.teams,Distance,"Distance [SEP] com.mysports.teams Below, we inform you according to Art. 13, 14 of the GDPR about which personal data are processed by Move Republic GmbH, Raboisen 6, 20095 Hamburg (""Move Republic"") when using the service to promote healthy physical activity (""service"") and the purposes for which this data is used. You will also learn about your related rights. We offer our service via our Move Republic platform (""platform""). It changes continuously and is subject to technical adjustments and additions. Therefore, we update the information in this privacy policy periodically. You are not obliged to enter into an agreement with us and provide your personal data. However, to fully and unrestrictedly offer our service, we need to collect and process your personal data. The terms used here are based on the definitions in the General Data Protection Regulation (""GDPR""). 1. Your Rights You have the right to receive information free of charge about the personal data we store about you. Furthermore, you have the following rights: Right to Access – the right to know which data has been collected and how it is processed; Right to Rectification – the right to request the correction of inaccurate or outdated",YES
com.mysports.teams,Exercise,"Exercise [SEP] com.mysports.teams Below, we inform you according to Art. 13, 14 of the GDPR about which personal data are processed by Move Republic GmbH, Raboisen 6, 20095 Hamburg (""Move Republic"") when using the service to promote healthy physical activity (""service"") and the purposes for which this data is used. You will also learn about your related rights. We offer our service via our Move Republic platform (""platform""). It changes continuously and is subject to technical adjustments and additions. Therefore, we update the information in this privacy policy periodically. You are not obliged to enter into an agreement with us and provide your personal data. However, to fully and unrestrictedly offer our service, we need to collect and process your personal data. The terms used here are based on the definitions in the General Data Protection Regulation (""GDPR""). 1. Your Rights You have the right to receive information free of charge about the personal data we store about you. Furthermore, you have the following rights: Right to Access – the right to know which data has been collected and how it is processed; Right to Rectification – the right to request the correction of inaccurate or outdated",NO
com.mysports.teams,Steps,"Steps [SEP] com.mysports.teams Below, we inform you according to Art. 13, 14 of the GDPR about which personal data are processed by Move Republic GmbH, Raboisen 6, 20095 Hamburg (""Move Republic"") when using the service to promote healthy physical activity (""service"") and the purposes for which this data is used. You will also learn about your related rights. We offer our service via our Move Republic platform (""platform""). It changes continuously and is subject to technical adjustments and additions. Therefore, we update the information in this privacy policy periodically. You are not obliged to enter into an agreement with us and provide your personal data. However, to fully and unrestrictedly offer our service, we need to collect and process your personal data. The terms used here are based on the definitions in the General Data Protection Regulation (""GDPR""). 1. Your Rights You have the right to receive information free of charge about the personal data we store about you. Furthermore, you have the following rights: Right to Access – the right to know which data has been collected and how it is processed; Right to Rectification – the right to request the correction of inaccurate or outdated",YES
